# Perth, Australia - Metro area locations
-31.906430,115.946315
-32.203990,115.948548
-32.112579,115.783669
-31.838455,115.998211
-31.817825,115.995447
-31.721270,115.716105
-31.880848,115.845738
-31.933864,115.823785
-31.708983,115.722869
-32.310925,115.762231
-32.044077,116.145031
-32.474918,115.784886
-32.594924,115.638092
-32.004112,115.792415
-32.246607,115.973300
-31.899258,116.018842
-31.909635,115.870019
-31.837662,116.020045
-32.091329,115.757493
-31.882339,115.956539
-31.890655,116.011422
-31.722599,115.953983
-31.826000,115.838378
-32.319678,115.812505
-32.085284,115.829408
-32.290605,115.744470
-32.053881,115.724649
-32.097936,115.756988
-31.596896,115.714903
-32.520319,115.770824
-32.273756,115.793084
-32.182237,116.048834
-32.088851,116.113780
-32.157389,115.922236
-31.802535,115.999047
-31.990689,116.011155
-31.785355,116.019070
-31.742520,115.777637
-31.609410,115.687391
-32.110902,116.110041
-31.673533,115.956569
-32.143346,115.928003
-32.009350,115.899251
-31.926393,115.892692
-31.911842,115.999384
-31.849531,115.805145
-31.613326,115.762842
-32.228800,115.785121
-31.997027,116.078235
-32.249998,115.792065
-32.169826,115.803062
-32.106710,116.123627
-32.037987,115.746999
-31.870879,116.022162
-31.773093,116.019395
-31.971031,116.126496
-32.268690,115.964415
-31.787385,116.054708
-32.249100,115.788369
-31.628116,115.720025
-32.167205,115.992521
-32.146701,115.776035
-31.904586,115.986802
-32.071777,116.156134
-31.619531,115.783128
-31.995442,115.772011
-32.113040,116.089838
-32.188644,115.996228
-32.035343,115.987914
-31.799996,115.733348
-32.089349,115.863570
-32.168066,115.987739
-31.717443,116.010828
-32.532661,115.713573
-32.292809,115.797023
-31.977106,115.767846
-31.967627,115.969703
-32.109655,115.801554
-32.058213,115.953818
-31.640857,115.715277
-32.168284,115.811857
-32.172904,115.997748
-32.148604,116.054314
-32.015668,115.789876
-32.007131,115.770399
-32.286789,115.813846
-32.195898,115.876605
-32.123671,116.091015
-31.970214,115.772842
-31.661225,115.749230
-31.846749,115.971098
-32.003668,116.017573
-31.850537,116.007738
-32.271805,115.754081
-32.217037,115.775892
-31.973200,116.090486
-31.667963,115.740675
-31.914927,116.022083
-31.771094,115.778913
-32.408901,115.810639
-32.516963,115.824337
-32.212178,115.953120
-31.720300,115.719008
-32.053720,115.725836
-32.089755,116.095978
-31.786515,116.055151
-32.115787,116.121022
-31.619853,115.715366
-32.151479,115.958336
-31.946454,115.908245
-31.755956,115.760876
-32.105083,115.914663
-32.560211,115.773079
-31.918501,116.057831
-32.107279,115.906124
-31.716737,115.805474
-32.131726,115.824282
-32.307303,115.761912
-31.686024,115.814814
-32.396083,115.826806
-31.997416,115.995253
-31.599504,115.750944
-31.923477,116.058270
-32.122575,116.035200
-31.844384,115.929499
-32.015951,115.911980
-31.689951,115.981012
-32.062109,116.017949
-32.100702,115.923415
-32.148651,115.996154
-31.928294,115.810662
-32.193785,116.000363
-31.878207,115.961148
-32.373535,115.739471
-31.978019,116.103396
-31.971346,115.781388
-32.082113,115.906252
-32.511049,115.828381
-32.078599,115.866862
-32.090421,115.971429
-31.991006,116.012151
-31.785287,115.837854
-31.631790,115.795368
-32.575390,115.810704
-32.025295,116.011398
-32.290430,115.882891
-32.039243,116.001735
-31.909879,115.968871
-31.966879,116.084197
-32.045237,115.873194
-32.164270,115.979390
-32.414897,115.792830
-31.948774,115.948400
-32.095912,115.850574
-32.143442,115.977044
-32.084769,115.966296
-31.892136,115.954886
-32.155818,115.968626
-31.954007,115.796700
-31.899984,116.019998
-32.016968,115.896456
-31.854687,115.868246
-31.856815,115.780709
-31.906507,116.032487
-32.085058,115.767690
-31.984298,115.973217
-31.964217,116.036177
-31.994394,115.789418
-31.919137,115.865822
-31.775874,115.946795
-31.768335,115.990053
-32.154792,115.978174
-32.146915,115.997212
-32.555484,115.735861
-32.394461,115.827326
-31.931081,115.945089
-31.843781,115.995877
-31.909359,116.046897
-32.265256,115.994151
-31.623810,115.765249
-31.678745,115.706786
-31.584167,115.728358
-32.146799,116.055658
-31.990553,116.120588
-32.173739,115.839616
-32.522903,115.768810
-32.001813,115.806466
-31.863672,115.781455
-32.338966,115.767490
-32.014694,115.908622
-31.647051,115.946357
-31.859426,115.776201
-32.313365,115.827705
-31.835189,116.049915
-32.341266,115.834622
-32.073951,115.959703
-31.596028,115.703040
-32.272293,115.734009
-32.272496,115.823229
-31.583132,115.650902
-32.216492,115.978065
-31.581973,115.677777
-31.724462,115.980861
-32.052466,115.848647
-31.644840,115.799648
-31.628910,115.698062
-32.315822,115.815244
-31.703651,115.829921
-32.354127,115.816201
-32.000252,116.016990
-31.764935,115.774802
-31.904133,115.819789
-32.268606,115.779783
-31.730913,115.949648
-31.967061,115.886859
-31.574096,115.689469
-31.548829,115.655181
-32.111685,115.943551
-31.769852,115.836118
-32.095901,115.908231
-32.238494,116.013252
-32.023966,115.932921
-31.762865,115.862315
-32.100750,116.055601
-32.329593,115.790490
-32.275900,115.881466
-31.854954,115.835784
-32.124391,115.875112
-32.060658,116.022242
-32.151310,115.950678
-31.838038,115.854479
-31.687217,115.755864
-31.636147,115.693582
-32.560737,115.772306
-32.142015,115.884704
-32.350190,115.760522
-32.142125,116.010714
-32.380661,115.777275
-32.458361,115.794652
-32.177143,115.872591
-31.890484,115.874103
-32.101571,115.937438
-32.185554,116.093299
-32.307389,115.741206
-32.516245,115.790754
-32.034796,115.771322
-32.340348,115.789040
-31.645839,115.843346
-31.869301,115.765718
-31.792423,115.840235
-32.115216,115.931145
-32.427041,115.808895
-31.970092,116.038894
-32.215873,115.965453
-32.290157,115.767659
-31.813149,115.795713
-31.795298,115.908669
-32.096963,115.764730
-32.054786,115.808057
-31.812164,115.833976
-31.838171,116.037623
-32.270322,115.794055
-32.525555,115.767918
-32.537359,115.783935
-32.358241,115.851392
-32.124092,115.900965
-32.042984,115.970463
-31.666348,115.827062
-31.800111,115.974788
-32.256775,115.847451
-32.176538,116.022468
-31.948349,116.016852
-32.254416,115.916027
-32.087702,116.137209
-31.876358,115.814077
-32.166797,115.803056
-32.043326,115.829337
-31.813919,115.795676
-31.776131,115.846267
-31.853573,115.986869
-32.420904,115.762002
-32.162029,115.972166
-31.917460,115.871346
-32.268773,115.739388
-31.706920,115.823604
-32.047304,115.930933
-32.077694,116.092454
-31.797191,116.044242
-32.585512,115.830698
-31.916137,115.940361
-31.964506,115.968417
-31.988710,115.985819
-32.109651,115.922732
-32.107480,116.125505
-31.880303,115.877150
-32.298578,115.824825
-31.880372,115.779973
-32.399886,115.759551
-32.114342,116.026411
-31.659558,115.721672
-32.069812,115.932984
-32.283168,115.755997
-32.083695,115.911792
-32.528278,115.815539
-32.044635,115.902152
-32.261914,115.814450
-31.694281,115.707300
-32.387462,115.758236
-31.980460,115.979222
-31.852006,115.868573
-32.204155,115.805842
-31.796657,115.934886
-31.680463,115.778632
-32.190190,115.943753
-32.125824,116.038830
-31.619554,115.694264
-31.982942,116.018110
-32.232721,116.012659
-31.542144,115.621410
-31.872561,115.886138
-31.581977,115.678829
-31.780552,116.009734
-31.895248,115.893194
-31.960704,115.791919
-32.343353,115.762939
-31.778637,115.816874
-32.241232,116.003491
-31.612488,115.687182
-32.371671,115.814356
-31.892342,115.880889
-32.074381,116.010027
-31.687002,115.704255
-31.952791,115.941335
-32.244231,115.906219
-31.822111,116.040496
-32.136555,116.090219
-32.263651,115.952010
-32.581382,115.818697
-31.749899,115.811532
-32.177349,115.917850
-31.636964,115.773351
-32.166678,115.989371
-32.569287,115.760707
-31.910284,115.779205
-31.840239,115.759790
-31.800145,115.739763
-32.207110,115.976523
-31.864122,115.913684
-31.818727,115.787987
-31.811297,115.763752
-31.824444,115.767014
-32.046023,116.010859
-31.660828,115.695570
-31.894637,115.873788
-32.166422,115.889108
-32.080238,115.849019
-31.890704,115.983750
-31.785259,115.985178
-32.030625,115.860288
-31.841705,115.869389
-32.275877,115.834787
-32.294574,115.865731
-31.942201,115.841673
-31.991089,115.965353
-32.282885,115.952490
-31.845589,115.810916
-32.168012,115.997898
-32.326593,115.861039
-31.550143,115.686056
-31.857568,115.981926
-32.193736,115.989851
-32.298333,115.769632
-32.254166,115.943388
-32.310339,115.741109
-32.084235,116.085439
-31.935053,115.826391
-31.971091,116.013586
-31.984200,115.929808
-31.853624,115.917419
-31.712792,115.742882
-32.325156,115.770683
-31.859237,115.850374
-32.299474,115.824553
-32.174452,115.844683
-32.087507,116.007276
-31.837750,115.965635
-31.801543,115.790465
-32.481585,115.746653
-31.889732,115.936791
-31.937312,115.899914
-32.088097,116.001579
-32.555374,115.748526
-32.075988,115.752575
-31.994521,115.927097
-31.724789,115.802418
-31.993887,115.917143
-32.088520,116.034083
-32.046356,115.749807
-32.143549,115.983695
-31.789769,116.052471
-32.329068,115.800637
-32.219911,115.776271
-31.723415,116.009108
-32.201370,115.947508
-32.268710,115.795165
-32.421929,115.748154
-31.796053,115.819057
-32.157244,115.842101
-32.053597,115.899993
-31.609699,115.715172
-32.179979,115.926239
-32.201610,115.924195
-32.552354,115.771564
-32.061151,115.791124
-32.070584,115.749736
-32.106361,115.773592
-31.918085,115.959030
-32.109977,115.909327
-31.626684,115.727942
-32.204307,116.017461
-32.503566,115.825653
-31.913102,115.880750
-32.156330,115.861818
-31.924946,116.061734
-31.722000,115.714853
-31.995048,115.902370
-32.293462,115.719848
-32.126667,115.914532
-32.492152,115.765429
-32.232734,115.803159
-32.283316,115.796148
-32.102529,115.842834
-32.018194,115.858850
-32.105856,115.827503
-31.843527,115.819153
-32.011371,116.099387
-31.601449,115.663108
-31.669556,115.913507
-31.841820,116.027334
-31.755633,115.818110
-31.974078,115.899165
-32.297788,115.798279
-32.386297,115.828265
-32.407031,115.800862
-32.272316,115.733914
-31.991698,116.006546
-32.335763,115.797565
-32.519208,115.765265
-31.691710,115.767233
-31.759777,115.982381
-31.984294,115.995104
-31.661635,115.752948
-31.992000,115.813813
-32.258129,115.847053
-31.856684,115.865655
-32.090547,115.980888
-31.917852,115.873554
-32.083795,116.085708
-31.857630,115.967885
-31.859216,115.969728
-32.284822,115.754295
-31.791936,115.932044
-32.266676,115.836391
-32.194593,115.984118
-31.941115,115.976398
-32.416554,115.770687
-31.805838,115.914519
-31.703522,115.980993
-31.564074,115.640510
-31.875926,116.041606
-31.747675,115.826032
